country,country_pt_br,iso_code,Latitude,Longitude
Malawi,Malawi,MWI,-13.254308,34.301525
Malaysia,Malásia,MYS,4.210484,101.975766
Maldives,Maldivas,MDV,3.202778,73.22068
Mali,Mali,MLI,17.570692,-3.996166
Malta,Malta,MLT,35.937496,14.375416
Marshall Islands,Ilhas Marshall,MHL,7.131474,171.184478
Mauritania,Mauritânia,MRT,21.00789,-10.940835
Mauritius,Maurício,MUS,-20.348404,57.552152
Mexico,México,MEX,23.634501,-102.552784
Micronesia (country),Micronésia,FSM,7.425554,150.550812
Moldova,Moldova,MDA,47.411631,28.369885
Monaco,Mônaco,MCO,43.7384176,7.4246158
Mongolia,Mongólia,MNG,46.862496,103.846656
Montenegro,Montenegro,MNE,42.708678,19.37439
Montserrat,Montserrat,MSR,16.742498,-62.187366
Morocco,Marrocos,MAR,31.791702,-7.09262
Mozambique,Moçambique,MOZ,-18.665695,35.529562
Myanmar,Mianmar,MMR,21.916221,95.955974
Namibia,Namíbia,NAM,-22.95764,18.49041
Nauru,Nauru,NRU,-0.522778,166.931503
Nepal,Nepal,NPL,28.394857,84.124008
Netherlands,Holanda,NLD,52.132633,5.291266
New Caledonia,Nova Caledônia,NCL,-20.904305,165.618042
New Zealand,Nova Zelândia,NZL,-40.900557,174.885971
Nicaragua,Nicarágua,NIC,12.865416,-85.207229
Niger,Níger,NER,17.607789,8.081666
Nigeria,Nigéria,NGA,9.081999,8.675277
Niue,Niue,NIU,-19.054445,-169.867233
North Macedonia,Macedônia do Norte,MKD,41.608635,21.745275
Norway,Noruega,NOR,60.472024,8.468946
Oman,Omã,OMN,21.4735329,55.975413
Pakistan,Paquistão,PAK,30.375321,69.345116
Palau,Palau,PLW,7.51498,134.58252
Palestine,Palestina,PSE,31.952162,35.233154
Panama,Panamá,PAN,8.537981,-80.782127
Papua New Guinea,Papua Nova Guiné,PNG,-6.314993,143.95555
Paraguay,Paraguai,PRY,-23.442503,-58.443832
Peru,Peru,PER,-9.189967,-75.015152
Philippines,Filipinas,PHL,12.879721,121.774017
Pitcairn,Pitcairn,PCN,-24.3767537,-128.3242376
Poland,Polônia,POL,51.919438,19.145136
Portugal,Portugal,PRT,39.399872,-8.224454
Qatar,Catar,QAT,25.354826,51.183884
Romania,Romênia,ROU,45.943161,24.96676
Russia,Rússia,RUS,61.52401,105.318756
Rwanda,Ruanda,RWA,-1.940278,29.873888
Saint Helena,Santa Helena,SHN,-15.9650104,-5.7089241
Saint Kitts and Nevis,São Cristóvão e Nevis,KNA,17.357822,-62.782998
Saint Lucia,Santa Lúcia,LCA,13.909444,-60.978893
Saint Vincent and the Grenadines,São Vicente e Granadinas,VCT,12.984305,-61.287228
Samoa,Samoa,WSM,-13.759029,-172.104629
San Marino,San Marino,SMR,43.94236,12.457777
Sao Tome and Principe,São Tomé e Príncipe,STP,0.18636,6.613081
Saudi Arabia,Arábia Saudita,SAU,23.885942,45.079162
Senegal,Senegal,SEN,14.497401,-14.452362
Serbia,Sérvia,SRB,44.016521,21.005859
Seychelles,Seychelles,SYC,-4.679574,55.491977
Sierra Leone,Serra Leoa,SLE,8.460555,-11.779889
Singapore,Cingapura,SGP,1.352083,103.819836
Sint Maarten (Dutch part),Sint Maarten,SXM,18.0308266,-63.0736329
Slovakia,Eslováquia,SVK,48.669026,19.699024
Slovenia,Eslovênia,SVN,46.151241,14.995463
Solomon Islands,Ilhas Salomão,SLB,-9.64571,160.156194
Somalia,Somália,SOM,5.152149,46.199616
South Africa,África do Sul,ZAF,-30.559482,22.937506
South Korea,Coreia do Sul,KOR,35.907757,127.766922
South Sudan,Sudão do Sul,SSD,6.8769919,31.3069788
Spain,Espanha,ESP,40.463667,-3.74922
Sri Lanka,Sri Lanka,LKA,7.873054,80.771797
Sudan,Sudão,SDN,12.862807,30.217636
Suriname,Suriname,SUR,3.919305,-56.027783
Sweden,Suécia,SWE,64.128161,16.643501
Switzerland,Suíça,CHE,46.818188,8.227512
Syria,Síria,SYR,34.802075,38.996815
Taiwan,Taiwan,TWN,23.69781,120.960515
Tajikistan,Tajiquistão,TJK,38.861034,71.276093
Tanzania,Tanzânia,TZA,-6.369028,34.888822
Thailand,Tailândia,THA,15.870032,100.992541
Timor,Timor,TLS,-8.8627946,126.3310364
Togo,Togo,TGO,8.619543,0.824782
Tokelau,Tokelau,TKL,-9.2002,-171.8484
Tonga,Tonga,TON,-21.178986,-175.198242
Trinidad and Tobago,Trinidad e Tobago,TTO,10.691803,-61.222503
Tunisia,Tunísia,TUN,33.886917,9.537499
Turkey,Turquia,TUR,38.963745,35.243322
Turkmenistan,Turquemenistão,TKM,38.969719,59.556278
Turks and Caicos Islands,Ilhas Turcas e Caicos,TCA,21.694025,-71.797928
Tuvalu,Tuvalu,TUV,-7.109535,177.64933
Uganda,Uganda,UGA,1.373333,32.290275
Ukraine,Ucrânia,UKR,48.379433,31.1655799
United Arab Emirates,Emirados Árabes Unidos,ARE,23.424076,53.847818
United Kingdom,Reino Unido,GBR,55.378051,-3.435973
United States,Estados Unidos,USA,37.09024,-95.712891
Uruguay,Uruguai,URY,-32.522779,-55.765835
Uzbekistan,Uzbequistão,UZB,41.377491,64.585262
Vanuatu,Vanuatu,VUT,-15.376706,166.959158
Vatican,Vaticano,VAT,41.902916,12.453389
Venezuela,Venezuela,VEN,6.42375,-66.58973
Vietnam,Vietnã,VNM,14.058324,108.277199
Wallis and Futuna,Wallis e Futuna,WLF,-14.2938,-178.1165
Yemen,Iêmen,YEM,15.552727,48.516388
Zambia,Zâmbia,ZMB,-13.133897,27.849332
Zimbabwe,Zimbábue,ZWE,-19.015438,29.154857
